timestamp,unique_id,y_pred,y_proba,query,model_version,runtime
Nov 18 11:57:12.696617,676c2beb-e99d-474f-9127-8ff1e5f3d3f2,[828.805],None,2019-04-05,0.1,000:00:22
Nov 18 12:08:28.351640,7dc65907-005c-42be-beaf-2d89b46abd1e,[133290.7069],None,2019-04-05,0.1,000:00:21
Nov 18 12:15:23.375987,47df2dce-87d5-4cc1-901a-132ac9af84d7,[131238.61046667],None,2019-04-05,0.1,000:00:21
Nov 18 13:27:25.753949,0eec7bba-b2cc-4eec-8027-aa3efefe4c3d,[132744.2289],None,2019-04-05,0.1,000:00:23
Nov 18 13:28:09.846372,04a3e8b9-d30b-4719-98aa-66116e967c83,[129493.0566],None,2019-04-06,0.1,000:00:21
Nov 18 22:23:55.031354,56e47c5f-de15-4ec8-8fe1-2329ae22be74,[128410.85475],None,2019-04-06,0.1,000:00:22
Nov 18 22:27:15.297193,52e0aeba-7c34-4755-ba22-db0860e55bd8,[128410.85475],None,2019-04-06,0.1,000:00:21
Nov 18 22:50:19.260039,cd9acdab-0d00-43ce-b01e-4f319b5b7299,[124601.786],None,2019-04-06,0.1,000:00:00
Nov 18 22:57:48.540125,5fe08015-50bb-405a-a9ee-533aabcc329f,[124601.786],None,2019-04-06,0.1,000:00:00
Nov 18 23:24:42.959352,23367d12-58d9-404b-a8e5-161b7ebcfd25,[124601.786],None,2019-04-06,0.1,000:00:00
Nov 19 10:40:19.822537,22afc1bb-d3db-4b10-b9bb-4bcb9212542a,[134258.56976667],None,2019-04-06,0.1,000:00:00
Nov 19 10:53:46.564831,35f56559-f41f-4470-9cfd-27dbc432b705,[134258.56976667],None,2019-04-06,0.1,000:00:00
Nov 19 10:56:16.611271,afef4eaf-e2ad-4066-9516-877bad3f14fe,[134258.56976667],None,2019-04-06,0.1,000:00:00
Nov 19 14:58:34.010130,d3afe880-b038-4c80-874b-3ddcd1d2481f,[134258.56976667],None,2019-04-06,0.1,000:00:00
Nov 19 15:20:24.195300,97a233f4-c9d4-4e1e-b382-712780cdfafd,[134258.56976667],None,2019-04-06,0.1,000:00:00
Nov 19 15:21:36.078103,31f2e670-0ebd-44a0-ad6a-04ccfde2835d,[128410.85475],None,2019-04-06,0.1,000:00:22
Nov 19 15:22:29.965968,d90aaa26-a6ae-46dd-94a9-df93f5d80af9,[128410.85475],None,2019-04-06,0.1,000:00:22
Nov 19 15:31:44.764634,a35debef-e929-4c19-82ca-318cc6e531b0,[134258.56976667],None,2019-04-06,0.1,000:00:00
